as_of_date,account_number,account_name,account_type,normal_balance,total_debits,total_credits,net_balance,debit_balance,credit_balance,legal_entity_id,legal_entity_name,cost_center_id,cost_center_name,category,entry_count,first_entry_date,last_entry_date,snapshot_timestamp
2023-10-31,1100,Accounts Receivable,Asset,Debit,3472014.4399999985,2846915.480000002,625098.9599999967,625098.9599999967,0,100004,International Holdings Ltd,1004,Engineering,compute,2373,2023-01-07,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,3202358.450000002,2480315.519999999,722042.930000003,722042.930000003,0,100003,TechVentures LLC,1004,Engineering,compute,2329,2023-01-02,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,3563202.59,2812560.599999998,750641.9900000016,750641.9900000016,0,100001,Acme Corporation,1004,Engineering,labor,2397,2023-01-04,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,6237086.010000001,3654787.859999999,2582298.150000002,2582298.150000002,0,100004,International Holdings Ltd,1003,Marketing Department,subcontractor,3281,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,3423412.9000000036,2753519.1700000055,669893.7299999981,669893.7299999981,0,100004,International Holdings Ltd,1001,Corporate,labor,2414,2023-01-04,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,5582769.1700000055,3825885.8200000077,1756883.3499999978,1756883.3499999978,0,100004,International Holdings Ltd,1003,Marketing Department,equipment,3340,2023-01-25,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,4568168.060000004,-4568168.060000004,0,4568168.060000004,100005,Enterprise Solutions Group,1003,Marketing Department,overhead,1219,2023-01-01,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,6734669.8000000045,-6734669.8000000045,0,6734669.8000000045,100002,Global Industries Inc,1000,Executive,materials,1289,2023-01-04,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,3202358.450000002,-3202358.450000002,0,3202358.450000002,100003,TechVentures LLC,1004,Engineering,compute,1277,2023-01-02,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,3324456.359999996,-3324456.359999996,0,3324456.359999996,100005,Enterprise Solutions Group,1005,R&D,labor,1235,2023-01-06,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,4608123.6000000015,-4608123.6000000015,0,4608123.6000000015,100001,Acme Corporation,1005,R&D,overhead,1205,2023-01-04,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4583067.829999999,0,4583067.829999999,4583067.829999999,0,100004,International Holdings Ltd,1004,Engineering,overhead,2876,2023-01-18,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,4786211.940000009,3816135.7199999997,970076.220000009,970076.220000009,0,100004,International Holdings Ltd,1002,Sales Department,overhead,2344,2023-01-04,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,4525828.579999995,3681409.7600000016,844418.8199999938,844418.8199999938,0,100002,Global Industries Inc,1000,Executive,overhead,2281,2023-01-03,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5100,Tax Expense,Expense,Debit,263028.16,0,263028.16,263028.16,0,100002,Global Industries Inc,1003,Marketing Department,labor,2719,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,2744096.82,3357717.95,-613621.1300000004,0,613621.1300000004,100001,Acme Corporation,1007,Manufacturing,labor,3316,2023-01-17,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3839063.7700000047,4978760.610000002,-1139696.8399999975,0,1139696.8399999975,100004,International Holdings Ltd,1002,Sales Department,equipment,5240,2023-01-23,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3743314.729999998,4600284.320000004,-856969.5900000059,0,856969.5900000059,100003,TechVentures LLC,1007,Manufacturing,materials,4996,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4484913.610000007,0,4484913.610000007,4484913.610000007,0,100003,TechVentures LLC,1007,Manufacturing,equipment,2742,2023-01-22,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3502616.5900000073,4462436.580000008,-959819.9900000012,0,959819.9900000012,100003,TechVentures LLC,1000,Executive,labor,5087,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4649012.290000011,0,4649012.290000011,4649012.290000011,0,100001,Acme Corporation,1001,Corporate,labor,2905,2023-01-22,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,3725487.0400000038,3911963.7000000025,-186476.65999999875,0,186476.65999999875,100003,TechVentures LLC,1000,Executive,overhead,3277,2023-01-14,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,3341482.2699999977,2605392.590000003,736089.6799999946,736089.6799999946,0,100004,International Holdings Ltd,1007,Manufacturing,compute,2385,2023-01-02,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,6613582.9200000055,-6613582.9200000055,0,6613582.9200000055,100005,Enterprise Solutions Group,1001,Corporate,equipment,1272,2023-01-01,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5100,Tax Expense,Expense,Debit,290400.6599999999,0,290400.6599999999,290400.6599999999,0,100005,Enterprise Solutions Group,1002,Sales Department,equipment,2842,2023-01-24,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3771540.8000000073,4933677.000000002,-1162136.1999999946,0,1162136.1999999946,100004,International Holdings Ltd,1007,Manufacturing,equipment,4935,2023-01-18,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5100,Tax Expense,Expense,Debit,273908.1599999999,0,273908.1599999999,273908.1599999999,0,100003,TechVentures LLC,1004,Engineering,materials,2767,2023-01-22,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,8978923.749999994,-8978923.749999994,0,8978923.749999994,100002,Global Industries Inc,1001,Corporate,subcontractor,1248,2023-01-02,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3675776.7699999977,4565700.019999998,-889923.25,0,889923.25,100003,TechVentures LLC,1000,Executive,materials,4896,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,6567788.6,-6567788.6,0,6567788.6,100002,Global Industries Inc,1002,Sales Department,equipment,1270,2023-01-07,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,3355117.7200000035,-3355117.7200000035,0,3355117.7200000035,100002,Global Industries Inc,1001,Corporate,labor,1255,2023-01-06,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,2885441.9299999983,3767833.069999998,-882391.1399999997,0,882391.1399999997,100003,TechVentures LLC,1004,Engineering,labor,3323,2023-01-24,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3399968.6899999925,4454155.469999992,-1054186.7799999998,0,1054186.7799999998,100003,TechVentures LLC,1007,Manufacturing,overhead,4921,2023-01-25,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,4786211.940000009,-4786211.940000009,0,4786211.940000009,100004,International Holdings Ltd,1002,Sales Department,overhead,1277,2023-01-04,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,3514383.5800000047,2835730.0300000054,678653.5499999993,678653.5499999993,0,100003,TechVentures LLC,1001,Corporate,labor,2399,2023-01-06,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,4903169.340000001,3746765.7499999953,1156403.5900000054,1156403.5900000054,0,100002,Global Industries Inc,1006,Finance,equipment,3171,2023-01-23,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5100,Tax Expense,Expense,Debit,261100.35999999967,0,261100.35999999967,261100.35999999967,0,100003,TechVentures LLC,1005,R&D,materials,2759,2023-01-21,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,6260051.88,-6260051.88,0,6260051.88,100004,International Holdings Ltd,1005,R&D,equipment,1256,2023-01-06,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3259495.7499999995,4418337.260000002,-1158841.510000002,0,1158841.510000002,100001,Acme Corporation,1005,R&D,equipment,5017,2023-01-19,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,3342003.879999999,2684945.520000001,657058.359999998,657058.359999998,0,100004,International Holdings Ltd,1000,Executive,compute,2299,2023-01-04,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3741158.480000002,4526172.349999999,-785013.8699999969,0,785013.8699999969,100002,Global Industries Inc,1005,R&D,materials,4883,2023-01-22,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4451166.550000006,0,4451166.550000006,4451166.550000006,0,100004,International Holdings Ltd,1006,Finance,overhead,2857,2023-01-17,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,4276632.519999998,3366000.809999999,910631.7099999986,910631.7099999986,0,100003,TechVentures LLC,1005,R&D,overhead,2208,2023-01-05,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,3306414.9600000046,2665817.1500000013,640597.8100000033,640597.8100000033,0,100004,International Holdings Ltd,1002,Sales Department,compute,2338,2023-01-03,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,4982098.720000001,3259495.7499999995,1722602.9700000011,1722602.9700000011,0,100001,Acme Corporation,1005,R&D,equipment,3255,2023-01-15,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,5986285.649999999,3675776.7699999977,2310508.8800000018,2310508.8800000018,0,100003,TechVentures LLC,1000,Executive,materials,3262,2023-01-21,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5100,Tax Expense,Expense,Debit,280953.98000000016,0,280953.98000000016,280953.98000000016,0,100003,TechVentures LLC,1004,Engineering,overhead,2860,2023-01-16,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5100,Tax Expense,Expense,Debit,250221.91000000015,0,250221.91000000015,250221.91000000015,0,100004,International Holdings Ltd,1005,R&D,equipment,2712,2023-01-19,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,2559918.4500000025,0,2559918.4500000025,2559918.4500000025,0,100004,International Holdings Ltd,1005,R&D,compute,1064,2023-01-18,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,6952085.760000006,5723832.650000006,1228253.1100000003,1228253.1100000003,0,100005,Enterprise Solutions Group,1002,Sales Department,materials,2269,2023-01-06,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5100,Tax Expense,Expense,Debit,280955.9800000001,0,280955.9800000001,280955.9800000001,0,100002,Global Industries Inc,1002,Sales Department,subcontractor,2794,2023-01-19,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4805350.969999991,0,4805350.969999991,4805350.969999991,0,100003,TechVentures LLC,1004,Engineering,equipment,2788,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3544418.9499999993,4589333.400000003,-1044914.4500000039,0,1044914.4500000039,100002,Global Industries Inc,1001,Corporate,materials,5178,2023-01-16,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,3430904.9800000004,2714593.8499999973,716311.1300000031,716311.1300000031,0,100003,TechVentures LLC,1005,R&D,labor,2439,2023-01-04,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5000,Operating Expenses,Expense,Debit,4583890.549999992,0,4583890.549999992,4583890.549999992,0,100001,Acme Corporation,1004,Engineering,subcontractor,2846,2023-01-22,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1100,Accounts Receivable,Asset,Debit,6004951.950000003,4903169.340000001,1101782.6100000022,1101782.6100000022,0,100002,Global Industries Inc,1006,Finance,equipment,2240,2023-01-03,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3714684.080000007,4822866.170000004,-1108182.0899999966,0,1108182.0899999966,100005,Enterprise Solutions Group,1001,Corporate,materials,4995,2023-01-18,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,5100,Tax Expense,Expense,Debit,263828.01999999996,0,263828.01999999996,263828.01999999996,0,100003,TechVentures LLC,1000,Executive,materials,2732,2023-01-20,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,6334319.019999997,-6334319.019999997,0,6334319.019999997,100002,Global Industries Inc,1001,Corporate,equipment,1254,2023-01-03,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,1000,Cash,Asset,Debit,5245764.81,3504962.750000003,1740802.0599999968,1740802.0599999968,0,100004,International Holdings Ltd,1004,Engineering,equipment,3311,2023-01-22,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,2000,Accounts Payable,Liability,Credit,3973121.5099999877,4887337.7999999905,-914216.2900000028,0,914216.2900000028,100004,International Holdings Ltd,1000,Executive,materials,5081,2023-01-16,2023-10-31,2025-10-15T03:09:52.436Z
2023-10-31,4000,Sales Revenue,Revenue,Credit,0,6334521.889999995,-6334521.889999995,0,6334521.889999995,100002,Global Industries Inc,1004,Engineering,equipment,1255,2023-01-03,2023-10-31,2025-10-15T03:09:52.436Z
